Gene,Percent of Strains
hemO,100.0
gspO/pilD,100.0
basC,100.0
gspM,100.0
basH,100.0
bauC,100.0
gspI,100.0
lpxD,100.0
pilY1,100.0
pilT,100.0
gspE2,100.0
fimU,100.0
galU,100.0
gspK,100.0
csuA/B,100.0
bauE,100.0
adeG,100.0
pgaD,100.0
pgaB,100.0
pilP,100.0
pilO,100.0
fimV,100.0
pilM,100.0
fimT,100.0
plc1,100.0
gspH,100.0
barA,100.0
gspE1,100.0
bauB,100.0
csuC,100.0
basI,100.0
pbpG,100.0
pgaA,100.0
pilV,100.0
csuD,100.0
csuA,100.0
csuB,100.0
pgaC,100.0
ACICU_RS16840,100.0
pilG,100.0
gspD,100.0
ACICU_RS04610,100.0
ACICU_RS04605,100.0
pilN,100.0
gspN,100.0
pilJ,100.0
plcD,100.0
adeF,100.0
basJ,100.0
ACICU_RS04585,100.0
pilR,100.0
gspF,100.0
pilW,100.0
pgi,100.0
ompA,100.0
lpxB,100.0
ACICU_RS04570,100.0
ACICU_RS04575,100.0
lpxA,100.0
galE,100.0
bauF,100.0
pilU,100.0
pilC,100.0
pilE,100.0
pilB,100.0
bfmS,100.0
bauD,100.0
pilF,100.0
bfmR,100.0
pilX,100.0
ACICU_RS04595,100.0
adeH,100.0
basD,100.0
gspL,100.0
pilS,100.0
lpsB,100.0
ACICU_RS04580,100.0
lpxM,100.0
barB,100.0
csuE,100.0
ACICU_RS04590,100.0
basA,100.0
gspC,100.0
ACICU_RS00485,100.0
entE,100.0
lpxL,100.0
basG,100.0
pilQ,100.0
pilI,100.0
pilH,100.0
basF,100.0
ACICU_RS04565,90.9090909090909
lpxC,90.9090909090909
plc2,90.9090909090909
ACICU_RS00500,90.9090909090909
tsaP,90.9090909090909
gspG,90.9090909090909
basB,90.9090909090909
vgrG/tssI,90.9090909090909
ACICU_RS00475,81.81818181818183
abaI,81.81818181818183
pilA,72.72727272727273
abaR,72.72727272727273
bap,72.72727272727273
bauA,63.63636363636363
tviB,54.54545454545454
ACICU_RS00395,54.54545454545454
ACICU_RS00400,54.54545454545454
ACICU_RS00405,54.54545454545454
tssM,36.36363636363637
hcp/tssD,36.36363636363637
tssK,36.36363636363637
tagX,36.36363636363637
tssB,36.36363636363637
tssA,36.36363636363637
tssE,36.36363636363637
tssF,36.36363636363637
tssL,36.36363636363637
tssG,36.36363636363637
tssC,36.36363636363637
clpV/tssH,36.36363636363637
ACICU_RS00470*,36.36363636363637
pseC,36.36363636363637
pseF,36.36363636363637
pseI,36.36363636363637
pseG,27.27272727272727
pseB,27.27272727272727
pseH,18.181818181818183
cpaA,18.181818181818183
ata,18.181818181818183
