Gene,Percent of Strains
nreB,100.0
ant(3'')-IIa,100.0
cxpE,100.0
amvA,100.0
abaF,90.9090909090909
blaOXA-23,81.81818181818183
gyrA_S81L,81.81818181818183
parC_S84L,81.81818181818183
blaOXA-66,72.72727272727273
adeC,72.72727272727273
aph(6)-Id,54.54545454545454
aph(3'')-Ib,54.54545454545454
tet(B),54.54545454545454
armA,36.36363636363637
msr(E),27.27272727272727
blaADC-73,27.27272727272727
ftsI_A515V,27.27272727272727
mph(E),27.27272727272727
sul2,18.181818181818183
blaADC-198,18.181818181818183
ftsI_T526S,18.181818181818183
blaADC-82,18.181818181818183
hdeD-GI,18.181818181818183
trxLHR,18.181818181818183
clpK,18.181818181818183
blaADC-156,18.181818181818183
blaOXA-120,18.181818181818183
blaADC,9.090909090909092
yfdX1,9.090909090909092
shsP,9.090909090909092
yfdX2,9.090909090909092
blaOXA-91,9.090909090909092
blaADC-199,9.090909090909092
blaCARB-16,9.090909090909092
blaADC-52,9.090909090909092
aacA34,9.090909090909092
blaIMP-14,9.090909090909092
blaOXA-58,9.090909090909092
