#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
/home/kien1211/Downloads/fasta/ERR5770798.fasta,NODE_124_length_1886_cov_13.301876,767,1303,+,csuA/B,1-537/537,===============,0/0,100,100,vfdb,WP_000790104,(csuA/B) Csu pilus major pilin subunit CsuA/B [Csu fimbriae (VF0461) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770798.fasta,NODE_124_length_1886_cov_13.301876,1378,1886,+,csuA,1-508/548,========/=====.,1-Jan,92.7,99.8,vfdb,,(csuA) Csu pilus subunit CsuA [Csu fimbriae (VF0461) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770798.fasta,NODE_129_length_1619_cov_24.671582,385,1101,-,abaR,1-717/717,===============,0/0,100,98.47,vfdb,WP_000446779,(abaR) DNA-binding HTH domain-containing protein [Quorom sensing (VF0471) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770798.fasta,NODE_15_length_67795_cov_28.163489,54513,55583,+,lpxD,1-1071/1071,===============,0/0,100,100,vfdb,WP_000868104,(lpxD) UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770798.fasta,NODE_15_length_67795_cov_28.163489,56072,56860,+,lpxA,1-789/789,===============,0/0,100,100,vfdb,WP_000064875,(lpxA) acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770798.fasta,NODE_16_length_65663_cov_40.045563,23647,25068,-,pilR,1-1422/1422,===============,0/0,100,97.96,vfdb,WP_000840548,(pilR) sigma-54 dependent transcriptional regulator [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770798.fasta,NODE_16_length_65663_cov_40.045563,25093,26661,-,pilS,1-1569/1569,===============,0/0,100,98.02,vfdb,WP_001160337,(pilS) PAS domain-containing sensor histidine kinase [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770798.fasta,NODE_16_length_65663_cov_40.045563,27520,28566,+,pbpG,1-1047/1047,===============,0/0,100,100,vfdb,WP_003384760,(pbpG) D-alanyl-D-alanine endopeptidase PBP7/8 [PbpG (VF0468) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770798.fasta,NODE_16_length_65663_cov_40.045563,57966,58709,+,gspN,1-744/744,===============,0/0,100,100,vfdb,WP_000730343,(gspN) type II secretion system protein N [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770798.fasta,NODE_16_length_65663_cov_40.045563,58709,59545,+,gspC,1-837/837,===============,0/0,100,100,vfdb,WP_000870033,(gspC) general secretion pathway protein C [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770798.fasta,NODE_16_length_65663_cov_40.045563,59587,61863,+,gspD,1-2277/2277,===============,0/0,100,100,vfdb,WP_001196426,(gspD) general secretion pathway protein D [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770798.fasta,NODE_1_length_205597_cov_41.210498,33358,34218,-,gspO/pilD,1-861/861,===============,0/0,100,100,vfdb,WP_001152285,(gspO/pilD) A24 family peptidase [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
