gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
NODE_1_length_242150_cov_34.945588_1	395	532	138	1	0.355	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242150_cov_34.945588_2	597	947	351	-1	0.345	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242150_cov_34.945588_3	1393	1929	537	1	0.378	11	GGA/GAG/AGG	GENOMAD.166855.PC	6.204e-11	63	0	0	0	1	NA	NA	NA	PF00419;K07349;COG3539	Pilin (type 1 fimbria component protein)
NODE_1_length_242150_cov_34.945588_4	2000	2740	741	1	0.325	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242150_cov_34.945588_5	2792	5329	2538	1	0.361	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242150_cov_34.945588_6	5326	6345	1020	1	0.382	11	GGAG/GAGG	GENOMAD.059332.PP	2.024e-35	141	0	0	0	1	NA	NA	NA	PF22003	MrkD-like receptor binding domain
NODE_1_length_242150_cov_34.945588_7	6922	7101	180	1	0.278	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242150_cov_34.945588_8	7141	7992	852	-1	0.403	11	None	GENOMAD.146654.PC	2.935e-18	88	0	0	0	1	NA	NA	NA	PF03466;PF00126;TIGR02424;COG0583;K11921	pca operon transcription factor PcaQ
NODE_1_length_242150_cov_34.945588_9	8087	9016	930	1	0.374	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242150_cov_34.945588_10	9129	9593	465	1	0.318	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242150_cov_34.945588_11	9846	11261	1416	1	0.367	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242150_cov_34.945588_12	11319	11756	438	-1	0.374	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242150_cov_34.945588_13	11846	12745	900	1	0.363	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242150_cov_34.945588_14	12776	12964	189	-1	0.302	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242150_cov_34.945588_15	13330	14562	1233	-1	0.292	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242150_cov_34.945588_16	14994	15857	864	-1	0.372	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242150_cov_34.945588_17	16132	16692	561	1	0.283	11	GGA/GAG/AGG	GENOMAD.116275.CP	1.686e-09	59	0	0	0	1	NA	NA	NA	PF16925;PF13022;K16137;TIGR03384;COG3226	transcriptional repressor BetI
NODE_1_length_242150_cov_34.945588_18	16878	17423	546	1	0.353	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242150_cov_34.945588_19	17586	18335	750	1	0.403	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_242150_cov_34.945588_20	18366	18836	471	-1	0.327	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
