qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
r3-T1_NC_010605.1_pACICU1_c38,NODE_77_length_8858_cov_219.470736,100.000,951,0,0,1,951,1194,244,0.0,1757
r3-T1_CP012955.1_pD36-3_c40,NODE_77_length_8858_cov_219.470736,99.790,951,2,0,1,951,1194,244,0.0,1746
r3-T1_CP014217.1_p1YU-R612_c57,NODE_77_length_8858_cov_219.470736,99.894,943,0,1,1,942,1194,252,0.0,1735
r3-T1_CP072307.1_p2KSKSensitive_c42,NODE_77_length_8858_cov_219.470736,96.951,951,29,0,1,951,1194,244,0.0,1596
r3-T1_NZ_CP044452.1_pMMS9-2-2_A_indicus,NODE_77_length_8858_cov_219.470736,98.726,942,12,0,1,942,1194,253,0.0,1674
r3-T1_NZ_CP044467.1_pHZE23-1-4_A_schindleri,NODE_77_length_8858_cov_219.470736,96.425,951,34,0,1,951,1194,244,0.0,1568
r3-T1_NZ_MK978163.1_pAVAci94_A_lwoffii,NODE_77_length_8858_cov_219.470736,95.794,951,40,0,1,951,1194,244,0.0,1535
r3-T1_CP015486.1_pORAB01-3.1_c41,NODE_77_length_8858_cov_219.470736,97.266,951,26,0,1,951,1194,244,0.0,1613
r3-T1_CP099794.1_NCCP_16006,NODE_77_length_8858_cov_219.470736,99.895,952,0,1,1,952,1194,244,0.0,1751
r3-T1_NC_009084.1_pAB2_c39,NODE_77_length_8858_cov_219.470736,99.895,951,1,0,1,951,1194,244,0.0,1751
r3-T60_CM009647.1_p2ZQ2_c86,NODE_66_length_15166_cov_29.835561,99.735,755,2,0,176,930,128,882,0.0,1384
r3-T60_NZ_CP084305.1_pXMC5X702-7.6k_A_pseudolwoffii,NODE_66_length_15166_cov_29.835561,100.000,755,0,0,176,930,128,882,0.0,1395
